title,rank,meta,rating
One Dollar Lawyer,#292,"Korean Drama - 2022, 12 episodes",8.5
Silent,#293,"Japanese Drama - 2022, 11 episodes",8.5
Heart Code,#294,"Thai Drama - 2026, 7 episodes",8.5
Designated Survivor: 60 Days,#295,"Korean Drama - 2019, 16 episodes",8.5
The Gifted,#296,"Thai Drama - 2018, 13 episodes",8.5
Revenge of Others,#297,"Korean Drama - 2022, 12 episodes",8.5
The Longest Day in Chang'an,#298,"Chinese Drama - 2019, 48 episodes",8.5
Had I Not Seen the Sun,#299,"Taiwanese Drama - 2025, 10 episodes",8.5
Bridal Mask,#300,"Korean Drama - 2012, 28 episodes",8.5
Cruel City,#301,"Korean Drama - 2013, 20 episodes",8.5
Naoki Hanzawa,#302,"Japanese Drama - 2013, 10 episodes",8.5
The Hours of My Life,#303,"Japanese Drama - 2014, 11 episodes",8.5
The Heart Killers: Uncut,#304,"Thai Drama - 2024, 12 episodes",8.5
The Family Game,#305,"Japanese Drama - 2013, 10 episodes",8.5
My Father Is Strange,#306,"Korean Drama - 2017, 52 episodes",8.5
Love upon a Time,#307,"Thai Drama - 2026, 12 episodes",8.5
Pluto,#308,"Thai Drama - 2024, 12 episodes",8.5
Arthdal Chronicles Part 1: The Children of Prophecy,#309,"Korean Drama - 2019, 6 episodes",8.5
Don't Call It Mystery,#310,"Japanese Drama - 2022, 12 episodes",8.5
Rebooting,#311,"Japanese Drama - 2023, 10 episodes",8.5
You and Everything Else,#312,"Korean Drama - 2025, 15 episodes",8.5
Story of Kunning Palace Extra,#313,"Chinese Drama - 2023, 1 episodes",8.5
My Liberation Notes,#314,"Korean Drama - 2022, 16 episodes",8.5
Shades,#315,"Thai Drama - 2026, 6 episodes",8.5
Black Out,#316,"Korean Drama - 2024, 14 episodes",8.5
Love Destiny,#317,"Thai Drama - 2018, 15 episodes",8.5
Project S: Skate Our Souls,#318,"Thai Drama - 2017, 8 episodes",8.5
Lighter & Princess Extra,#319,"Chinese Drama - 2022, 1 episodes",8.5
Perfect Marriage Revenge,#320,"Korean Drama - 2023, 12 episodes",8.5
Amidst a Snowstorm of Love,#321,"Chinese Drama - 2024, 30 episodes",8.5
School Trip: Joined a Group I’m Not Close To After Story,#322,"Japanese Drama - 2025, 2 episodes",8.5
The Romance of Tiger and Rose,#323,"Chinese Drama - 2020, 24 episodes",8.5
Sammy's Children's Day,#324,"Hong Kong Drama - 2026, 9 episodes",8.5
Dong Yi,#325,"Korean Drama - 2010, 60 episodes",8.5
MIU404,#326,"Japanese Drama - 2020, 11 episodes",8.5
Queendom,#327,"Thai Drama - 2025, 12 episodes",8.5
Gelboys,#328,"Thai Drama - 2025, 7 episodes",8.5
Love beyond Dreams,#329,"Thai Drama - 2026, 7 episodes",8.5
"Hello, My Twenties!",#330,"Korean Drama - 2016, 12 episodes",8.5
Two Lights: Relumino,#331,"Korean Special - 2017, 1 episodes",8.5
My Journey to You,#332,"Chinese Drama - 2023, 24 episodes",8.5
Beside the Sky,#333,"Thai Drama - 2025, 8 episodes",8.5
Had I Not Seen the Sun Part 2,#334,"Taiwanese Drama - 2025, 10 episodes",8.5
Bad Guys,#335,"Korean Drama - 2014, 11 episodes",8.5
Fourever You Part 2,#336,"Thai Drama - 2025, 24 episodes",8.5
Good Partner,#337,"Korean Drama - 2024, 16 episodes",8.5
Immortal Samsara: Part 2,#338,"Chinese Drama - 2022, 21 episodes",8.5
The Rebel,#339,"Korean Drama - 2017, 30 episodes",8.5
The Starry Love,#340,"Chinese Drama - 2023, 40 episodes",8.5
The Road to Splendor,#341,"Chinese Drama - 2026, 36 episodes",8.5
The Manipulated,#342,"Korean Drama - 2025, 12 episodes",8.5
Boyhood,#343,"Korean Drama - 2023, 10 episodes",8.5
Girl from Nowhere,#344,"Thai Drama - 2018, 13 episodes",8.5
ThamePo Heart That Skips a Beat,#345,"Thai Drama - 2024, 13 episodes",8.5
Ancient Love Poetry,#346,"Chinese Drama - 2021, 49 episodes",8.5
Doctor John,#347,"Korean Drama - 2019, 32 episodes",8.5
To the Moon and Back,#348,"Thai Drama - 2023, 21 episodes",8.5
"She Loves to Cook, and She Loves to Eat Season 2",#349,"Japanese Drama - 2024, 20 episodes",8.5
To My Shore,#350,"Chinese Drama - 2025, 15 episodes",8.5
Thai Cave Rescue,#351,"Thai Drama - 2022, 6 episodes",8.5
Fangs of Fortune Special,#352,"Chinese Drama - 2024, 1 episodes",8.5
Voice Season 2: Generation of Disgust,#353,"Korean Drama - 2018, 12 episodes",8.5
Peach and Me,#354,"Thai Drama - 2026, 4 episodes",8.5
Special Episode JohanNorth,#355,"Thai Drama - 2025, 2 episodes",8.5
Love You Teacher,#356,"Thai Drama - 2026, 10 episodes",8.5
Pachinko Season 2,#357,"Korean Drama - 2024, 8 episodes",8.5
Avengers Social Club,#358,"Korean Drama - 2017, 12 episodes",8.5
The Long Night,#359,"Chinese Drama - 2020, 12 episodes",8.5
Beautiful World,#360,"Korean Drama - 2019, 16 episodes",8.5
Temptation of the Wife of Heirs Over Flowers,#361,"Korean Special - 2017, 1 episodes",8.5
Undercover High School,#362,"Korean Drama - 2025, 12 episodes",8.5
Enigma,#363,"Thai Drama - 2023, 4 episodes",8.5
The Sleuth of Ming Dynasty,#364,"Chinese Drama - 2020, 48 episodes",8.5
Fourever You (Uncut Ver.),#365,"Thai Drama - 2024, 17 episodes",8.5
Mystic Pop-Up Bar,#366,"Korean Drama - 2020, 12 episodes",8.5
Rain or Shine,#367,"Korean Drama - 2017, 16 episodes",8.5
Save Me,#368,"Korean Drama - 2017, 16 episodes",8.5
A Tale of Thousand Stars,#369,"Thai Drama - 2021, 10 episodes",8.5
Love Design,#370,"Thai Drama - 2025, 8 episodes",8.5
Last Twilight,#371,"Thai Drama - 2023, 12 episodes",8.5
365: Repeat the Year,#372,"Korean Drama - 2020, 24 episodes",8.5
